Course,Previous qualification,Previous qualification (grade),Nationality,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (grade),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Target
8014,1,138,1,134.5,1,0,0,1,0,0,19,0,12.66666667,14.375,12.4,0.5,1.79,Graduate
9991,1,130,1,131.4,0,0,0,1,1,0,34,0,12.4,13.42857143,13.9,-0.3,0.79,Graduate
33,1,130,1,102.5,0,0,1,0,1,0,37,0,0,10,8.9,1.4,3.51,Dropout
9119,10,133.1,1,128.8,1,0,0,1,1,0,43,0,0,0,7.6,2.6,0.32,Dropout
9147,1,140,1,122.9,0,0,0,1,0,0,55,0,10,12,16.2,0.3,-0.92,Dropout
9991,1,120,1,113.9,1,0,0,1,0,0,39,0,11,11.6,7.6,2.6,0.32,Graduate
9130,39,120,6,120,0,0,1,0,0,0,20,1,11.66666667,12,12.4,0.5,1.79,Dropout
9773,1,126,1,121.1,0,0,1,1,0,0,18,0,12.75,0,12.7,3.7,-1.7,Dropout
9147,1,133,1,120.4,1,0,0,1,0,0,22,0,14.8,15.8,8.9,1.4,3.51,Graduate
9500,1,103,1,100.6,1,1,0,1,0,0,22,0,13.928,14.34285714,11.1,0.6,2.02,Graduate
9773,1,120,1,121.4,0,0,0,0,0,0,20,0,13,13.8,12.4,0.5,1.79,Dropout
9991,1,133.1,1,109.7,0,0,0,1,0,0,29,0,0,0,16.2,0.3,-0.92,Dropout
9991,1,154,1,134.1,0,0,0,1,0,0,24,0,11.5,14.33333333,7.6,2.6,0.32,Enrolled
9238,1,130,1,127.6,1,0,0,1,0,0,18,0,11.66666667,13.2,11.1,0.6,2.02,Graduate
9500,1,132,1,132.4,1,0,0,1,0,1,22,0,13.51666667,13.77142857,11.1,0.6,2.02,Graduate
8014,39,130,1,133.4,0,0,0,1,0,1,21,0,11.5,13.28571429,12.4,0.5,1.79,Graduate
9238,1,139,1,126.1,0,0,0,1,0,1,19,0,12.33333333,12.83333333,12.7,3.7,-1.7,Graduate
9254,1,130,1,113.5,0,0,0,1,0,1,24,0,13.66666667,14.16666667,12.4,0.5,1.79,Graduate
9500,1,139,1,121.3,1,0,0,1,0,1,19,0,11.83333333,11.83333333,9.4,-0.8,-3.12,Enrolled
9773,1,127,1,121.8,1,0,0,1,0,1,20,0,14,11,9.4,-0.8,-3.12,Enrolled
9130,1,167,1,159.3,0,0,0,1,0,0,19,0,14.71428571,15.8,7.6,2.6,0.32,Graduate
9991,1,130,1,120,0,0,0,1,0,0,27,0,10.6,11,9.4,-0.8,-3.12,Dropout
9500,1,130,1,129.1,1,0,0,1,0,0,18,0,13.04444444,13.595,15.5,2.8,-4.06,Graduate
9254,3,130,1,130,0,0,0,1,0,0,39,0,0,0,12.4,0.5,1.79,Dropout
9130,40,129,1,155.3,1,0,0,1,0,0,27,0,13,12.9,12.4,0.5,1.79,Dropout
9500,1,141,1,139.8,1,0,0,1,0,0,18,0,14.935,14.935,9.4,-0.8,-3.12,Graduate
171,1,125,1,115.2,1,0,0,1,0,0,18,0,0,0,7.6,2.6,0.32,Enrolled
9500,1,125,1,114.9,0,0,0,1,0,0,18,0,13.13333333,12.22142857,16.2,0.3,-0.92,Graduate
9238,39,130,1,131.9,0,0,0,1,0,1,21,0,12,12,13.9,-0.3,0.79,Graduate
171,1,133,1,126,1,0,0,1,1,1,19,0,0,0,10.8,1.4,1.74,Enrolled
9070,1,127,1,130.2,1,0,0,1,1,0,19,0,11.4,10,10.8,1.4,1.74,Enrolled
9070,1,116,1,120.9,0,0,0,1,1,0,24,0,0,0,12.7,3.7,-1.7,Enrolled
9500,19,133.1,1,126,1,0,0,1,1,0,29,0,11.9,11,13.9,-0.3,0.79,Dropout
171,1,139,1,128.2,1,0,0,1,1,1,19,0,0,0,10.8,1.4,1.74,Graduate
9003,39,130,1,130,1,0,0,1,1,0,23,0,12.57142857,12.42857143,8.9,1.4,3.51,Graduate
9147,1,125,1,120.1,0,0,1,1,1,0,19,0,11.2,10.75,16.2,0.3,-0.92,Dropout
9254,1,160,1,100,0,0,0,1,1,0,26,0,12,10.8,12.7,3.7,-1.7,Enrolled
9147,1,148,1,134,0,0,0,1,1,0,18,0,0,0,7.6,2.6,0.32,Enrolled
9500,1,150,1,130.8,0,0,0,1,1,0,24,0,11.975,13.75,13.9,-0.3,0.79,Graduate
171,1,141,1,135.8,1,0,0,1,1,0,19,0,0,0,15.5,2.8,-4.06,Dropout
9254,1,118,1,111.7,1,0,0,1,1,0,18,0,11.66666667,12,12.4,0.5,1.79,Dropout
9773,1,142,1,132.9,1,0,0,1,1,0,18,0,12.33333333,12.33333333,10.8,1.4,1.74,Graduate
9147,1,120,1,115.5,1,0,1,1,1,0,18,0,10.33333333,10.85714286,10.8,1.4,1.74,Dropout
9254,1,106,1,106,1,0,0,1,1,1,21,0,10.5,11,9.4,-0.8,-3.12,Dropout
9773,1,121,1,120.3,1,0,1,1,1,1,19,0,13.66666667,13.33333333,8.9,1.4,3.51,Graduate
9500,1,150,1,130.8,0,0,0,1,1,1,22,0,14.84285714,15.05555556,16.2,0.3,-0.92,Graduate
8014,1,120,1,117,0,0,0,1,1,0,33,0,12,11.66666667,10.8,1.4,1.74,Graduate
9853,1,114,1,110.2,1,0,0,1,1,0,20,0,12.2,12.2,10.8,1.4,1.74,Dropout
9991,2,140,1,155.7,1,0,0,1,1,0,35,0,0,0,10.8,1.4,1.74,Dropout
9003,4,160,1,180.4,0,0,1,1,1,0,24,0,12.16666667,13.3,12.4,0.5,1.79,Dropout
9254,1,120,1,125.5,0,0,0,1,1,0,18,0,12,11.33333333,12.7,3.7,-1.7,Enrolled
8014,1,130,1,110,1,0,0,1,0,0,33,0,11,11,9.4,-0.8,-3.12,Graduate
9500,1,160,1,161,1,0,0,1,0,1,22,0,13.08,13.08,10.8,1.4,1.74,Graduate
9670,1,120,1,100,0,0,0,1,0,1,25,0,10.5,11.6,9.4,-0.8,-3.12,Graduate
9070,1,124,1,117.6,1,0,0,1,1,0,20,0,10.66666667,11.2,7.6,2.6,0.32,Graduate
9147,1,143,1,128.7,1,0,0,1,1,0,23,0,14,13.8,11.1,0.6,2.02,Enrolled
9119,1,115,1,112.2,1,0,1,1,1,0,18,0,10,0,15.5,2.8,-4.06,Enrolled
9500,1,133.1,1,100.8,0,0,0,1,1,0,24,0,0,0,13.9,-0.3,0.79,Dropout
9773,1,133.1,41,105,1,0,0,0,0,0,21,1,14,13.5,8.9,1.4,3.51,Graduate
9130,1,133.1,41,100,0,0,0,1,0,0,26,1,12,0,8.9,1.4,3.51,Dropout
9853,10,133.1,1,115.5,0,0,0,1,0,0,39,0,12.66666667,0,7.6,2.6,0.32,Dropout
8014,1,133.1,1,114,0,0,0,1,0,0,44,0,11.875,12.33333333,12.7,3.7,-1.7,Graduate
9119,1,130,26,137,1,0,0,1,1,0,19,1,14,13.25,13.9,-0.3,0.79,Enrolled
9773,1,135,1,124.9,1,0,0,1,0,0,18,0,13.66666667,13.33333333,8.9,1.4,3.51,Graduate
9500,1,132,1,120.3,1,0,0,1,0,1,18,0,13.75,14.47777778,12.4,0.5,1.79,Graduate
9085,1,135,1,134.3,1,0,0,1,0,0,19,0,14.2,13.8,12.7,3.7,-1.7,Enrolled
9500,1,115,1,111.5,1,0,1,0,0,0,19,0,11.96,0,13.9,-0.3,0.79,Dropout
9085,42,130,1,128.8,0,0,0,1,0,0,21,0,12.875,13.4,8.9,1.4,3.51,Dropout
171,1,133.1,1,110,1,0,0,1,0,0,20,0,0,0,16.2,0.3,-0.92,Graduate
8014,1,130,1,113.5,1,0,0,1,0,0,36,0,0,0,9.4,-0.8,-3.12,Dropout
9003,12,133.1,1,160,0,0,0,1,0,0,43,0,14.63157895,14.23076923,15.5,2.8,-4.06,Graduate
9853,1,123,1,117.4,1,0,0,1,0,0,19,0,0,0,11.1,0.6,2.02,Dropout
9070,1,130,1,122.2,0,0,1,1,0,0,20,0,13,12.27272727,11.1,0.6,2.02,Graduate
9238,1,122,1,118.2,1,0,0,1,0,0,19,0,0,0,16.2,0.3,-0.92,Dropout
9085,1,113,1,106.7,1,0,0,1,0,0,20,0,14.2,13.25,15.5,2.8,-4.06,Dropout
9500,1,111,1,108.2,1,0,0,1,0,0,20,0,13.26666667,12.3,12.4,0.5,1.79,Dropout
9853,1,133.1,1,107,1,0,0,1,0,0,20,0,11.66666667,13,16.2,0.3,-0.92,Enrolled
9238,1,142,1,136.1,1,0,0,1,0,0,18,0,13.85714286,15,13.9,-0.3,0.79,Graduate
9147,1,123,1,115.3,1,0,0,1,0,1,18,0,13,11,8.9,1.4,3.51,Enrolled
9085,1,131,1,139.8,1,0,0,1,0,0,19,0,13.4,12.8,10.8,1.4,1.74,Graduate
9773,1,158,1,157,1,0,0,1,0,0,18,0,12.66666667,12.57142857,10.8,1.4,1.74,Graduate
9500,1,122,1,131,1,0,0,1,0,0,18,0,12.51666667,12.51666667,7.6,2.6,0.32,Dropout
9500,1,130,1,100,0,0,0,1,0,0,20,0,11.61666667,13,13.9,-0.3,0.79,Enrolled
9238,1,154,1,140.4,1,0,0,1,0,1,20,0,10,10.75,7.6,2.6,0.32,Enrolled
9147,1,120,1,113.4,0,0,0,1,0,0,20,0,10.33333333,10.66666667,12.4,0.5,1.79,Enrolled
9085,1,140,1,137,0,0,0,1,0,0,18,0,13.14285714,11.4,9.4,-0.8,-3.12,Graduate
9147,1,127,1,121.8,0,0,0,1,0,0,18,0,12.6,14,11.1,0.6,2.02,Graduate
9254,1,133.1,1,131,1,0,0,1,0,0,21,0,11,11,9.4,-0.8,-3.12,Dropout
9147,1,120,1,118.6,1,0,0,1,0,0,19,0,10.8,11.25,16.2,0.3,-0.92,Graduate
171,1,137,1,122.3,0,0,0,1,0,0,19,0,0,0,10.8,1.4,1.74,Dropout
9670,1,131,1,127.9,0,0,0,1,0,1,19,0,12.8,14.2,9.4,-0.8,-3.12,Graduate
9085,1,130,1,121.3,1,0,0,1,0,0,19,0,14.16666667,12.2,15.5,2.8,-4.06,Graduate
9556,1,122,1,117.1,1,0,0,1,0,0,19,0,12.1,0,13.9,-0.3,0.79,Dropout
9085,39,160,1,160,1,0,0,1,0,0,20,0,14.16666667,13.77777778,12.4,0.5,1.79,Graduate
9853,1,146,1,145.3,1,0,0,1,0,1,18,0,12.8,13.4,9.4,-0.8,-3.12,Enrolled
9238,1,131,1,122.6,1,0,0,1,0,0,18,0,13,13.66666667,12.4,0.5,1.79,Graduate
9500,1,132,1,128,1,0,0,1,0,0,19,0,13.46714286,15.01111111,12.4,0.5,1.79,Graduate
9500,1,138,1,124.9,1,0,0,1,0,1,18,0,13.2375,13.74285714,13.9,-0.3,0.79,Dropout
9070,1,130,1,123.7,1,0,0,1,0,0,18,0,12.33333333,13,7.6,2.6,0.32,Graduate
9147,1,126,1,120.1,1,0,0,1,0,0,19,0,12.4,14.6,8.9,1.4,3.51,Graduate
9500,1,148,1,131.7,1,0,0,1,0,0,19,0,14,0,13.9,-0.3,0.79,Dropout
9238,1,130,1,133.2,0,0,0,1,0,0,20,0,11.66666667,11.71428571,7.6,2.6,0.32,Graduate
9670,1,117,1,109.3,0,0,1,0,0,1,19,0,12,12.5,12.4,0.5,1.79,Dropout
9670,1,120,1,113,1,0,0,1,0,0,20,0,12.2,11.5,7.6,2.6,0.32,Graduate
9773,1,153,1,157.9,0,0,1,1,0,1,18,0,14.83333333,14.83333333,8.9,1.4,3.51,Graduate
9500,1,117,1,112.1,0,0,0,1,0,1,20,0,13.188,12.89285714,11.1,0.6,2.02,Enrolled
9500,1,178,1,174.7,0,0,0,1,0,0,18,0,17.125,17.5875,13.9,-0.3,0.79,Graduate
9500,1,129,1,128.8,1,0,0,1,0,0,19,0,12.66666667,12.66666667,7.6,2.6,0.32,Graduate
9773,1,116,1,110.1,1,0,0,1,0,1,19,0,12.66666667,12,12.4,0.5,1.79,Graduate
9147,1,99,1,99.7,1,0,1,0,0,0,22,0,0,0,8.9,1.4,3.51,Enrolled
9238,1,135,1,121,1,0,0,1,0,1,19,0,11.33333333,11.5,12.4,0.5,1.79,Graduate
9500,1,141,1,131.7,1,0,0,1,0,1,19,0,13.605,12.33125,15.5,2.8,-4.06,Graduate
9853,1,132,1,119.1,1,0,0,1,0,1,19,0,12,10.8,9.4,-0.8,-3.12,Graduate
9254,1,132,1,124.7,1,0,0,1,0,0,19,0,0,0,7.6,2.6,0.32,Dropout
9254,1,113,1,117.2,1,0,0,1,0,0,20,0,11.2,11.66666667,7.6,2.6,0.32,Dropout
9147,1,134,1,128.8,0,0,0,1,0,0,18,0,13.375,14.16666667,13.9,-0.3,0.79,Graduate
9500,1,136,1,131.5,0,0,0,1,0,1,20,0,13.86333333,14.17857143,11.1,0.6,2.02,Graduate
171,1,136,1,121.7,1,0,0,1,0,0,18,0,0,0,9.4,-0.8,-3.12,Enrolled
9085,1,129,1,123.4,0,0,0,1,0,0,19,0,12.4,13.4,7.6,2.6,0.32,Graduate
9853,1,138,1,124.7,1,0,0,1,0,0,18,0,12.33333333,10.83333333,9.4,-0.8,-3.12,Enrolled
9853,1,137,1,132.8,1,0,0,1,0,0,18,0,13.33333333,11.8,7.6,2.6,0.32,Graduate
9853,1,115,1,108.7,1,0,0,1,0,0,21,0,12.66666667,10,9.4,-0.8,-3.12,Dropout
9853,1,129,1,138.1,0,0,0,1,0,0,19,0,12,11.5,7.6,2.6,0.32,Dropout
9147,1,131,1,126.5,0,0,0,1,0,1,18,0,10.6,11.8,12.4,0.5,1.79,Graduate
9238,1,133,1,127.4,1,0,0,1,0,1,18,0,12.25,11.85714286,12.7,3.7,-1.7,Graduate
9238,1,125,1,123.6,1,0,0,1,0,0,20,0,11,11.83333333,9.4,-0.8,-3.12,Graduate
8014,1,120,1,122,0,0,0,1,0,1,24,0,11,12.6,11.1,0.6,2.02,Graduate
9670,1,128,1,118.2,0,0,0,1,0,0,19,0,13.16666667,13,10.8,1.4,1.74,Dropout
9500,1,127,1,123.9,1,0,0,1,0,1,18,0,12.85555556,12.76111111,15.5,2.8,-4.06,Graduate
9500,1,134,1,125.8,1,0,0,1,0,0,18,0,14.91875,15.355,15.5,2.8,-4.06,Graduate
9853,1,132,1,123.3,1,0,0,1,0,0,21,0,11.5,11,10.8,1.4,1.74,Dropout
9670,1,124,1,124.4,0,0,0,1,0,0,19,0,14.2,14.2,7.6,2.6,0.32,Graduate
9773,1,133.1,1,126,0,0,0,1,0,1,19,0,12.5,13,15.5,2.8,-4.06,Graduate
9003,1,170,1,170,0,0,1,1,0,0,47,0,0,0,8.9,1.4,3.51,Enrolled
9238,1,125,1,121.5,0,0,0,1,0,0,19,0,11.66666667,11,13.9,-0.3,0.79,Graduate
9500,3,130,1,130,0,0,0,1,0,0,29,0,14.25714286,14.25714286,12.7,3.7,-1.7,Graduate
9238,1,125,1,117,1,0,0,1,0,0,21,0,12,11.33333333,16.2,0.3,-0.92,Dropout
9085,1,130,1,130,1,0,0,1,0,0,28,0,11.25,10.5,12.7,3.7,-1.7,Enrolled
9556,1,133.1,1,108,0,0,0,1,0,0,20,0,12.45714286,13.5625,15.5,2.8,-4.06,Graduate
9500,1,131,1,132.3,1,0,0,1,0,0,19,0,11.68333333,11.68333333,7.6,2.6,0.32,Graduate
8014,1,150,1,148,0,0,0,1,0,0,26,0,11.66666667,12,9.4,-0.8,-3.12,Graduate
9254,1,125,1,122.6,1,0,1,0,0,0,20,0,11.75,13.16666667,11.1,0.6,2.02,Dropout
9670,1,131,1,123,1,0,0,1,0,1,18,0,11.66666667,13.5,7.6,2.6,0.32,Enrolled
9853,1,130,1,102.5,0,0,0,1,0,0,27,0,13.2,12,7.6,2.6,0.32,Graduate
9500,1,123,1,113.3,1,0,0,1,0,0,20,0,11.95,11.95,7.6,2.6,0.32,Dropout
9853,1,141,1,133,1,0,0,1,0,0,18,0,12.4,10.4,9.4,-0.8,-3.12,Dropout
9500,3,140,1,140,0,0,0,1,0,0,33,0,14.35,14.58333333,16.2,0.3,-0.92,Dropout
9853,1,140,1,128.3,1,0,0,1,0,0,35,0,12.61904762,12.78947368,12.4,0.5,1.79,Graduate
9991,39,140,1,140,0,0,0,1,0,1,26,0,12.66666667,13.16666667,9.4,-0.8,-3.12,Enrolled
9773,19,133.1,1,104,0,0,1,0,0,0,27,0,12,0,11.1,0.6,2.02,Dropout
9070,1,131,1,122.3,1,0,0,0,0,0,19,0,12.16666667,0,15.5,2.8,-4.06,Dropout
9254,1,143,1,135,0,0,0,1,0,0,20,0,0,0,11.1,0.6,2.02,Dropout
9147,1,132,1,119.1,1,0,1,0,0,0,20,0,10,10.57142857,10.8,1.4,1.74,Dropout
9238,1,143,1,126.6,0,0,1,0,0,0,21,0,11.5,10,9.4,-0.8,-3.12,Enrolled
9500,1,141,1,129,1,0,0,1,0,1,18,0,13.05,13.05,7.6,2.6,0.32,Graduate
9085,1,133.1,1,162.3,1,0,0,1,0,0,24,0,11,0,8.9,1.4,3.51,Dropout
9070,1,148,1,163.4,1,0,0,1,0,0,20,0,11.5,12,16.2,0.3,-0.92,Graduate
9254,1,125,1,121.5,0,0,0,1,0,1,21,0,12,12.5,13.9,-0.3,0.79,Graduate
8014,1,120,1,122.8,0,0,0,1,0,0,23,0,10,10,9.4,-0.8,-3.12,Enrolled
9147,1,140,1,118,1,0,0,1,0,0,24,0,0,0,7.6,2.6,0.32,Dropout
9853,1,139,1,134,0,0,0,1,0,0,21,0,0,0,12.4,0.5,1.79,Dropout
9500,1,142,1,129.8,1,0,0,1,0,0,18,0,12.24285714,12.24285714,12.7,3.7,-1.7,Graduate
9991,40,130,1,152,1,0,0,1,0,0,27,0,0,0,8.9,1.4,3.51,Dropout
9500,1,126,1,122.8,1,0,0,1,0,0,18,0,12.93375,12.93375,9.4,-0.8,-3.12,Graduate
9119,3,150,1,150,0,0,0,1,0,0,35,0,0,0,13.9,-0.3,0.79,Dropout
9853,1,130,1,131.8,0,0,0,1,0,0,18,0,12.57142857,14.42857143,11.1,0.6,2.02,Graduate
9500,1,120,1,105.9,0,0,0,1,0,0,35,0,11.81666667,11.33333333,11.1,0.6,2.02,Enrolled
9085,1,138,1,132.1,1,0,0,1,0,0,19,0,13.75,14.33333333,10.8,1.4,1.74,Graduate
9238,1,127,1,127.4,1,0,0,1,0,0,20,0,11.16666667,11.33333333,7.6,2.6,0.32,Graduate
9500,1,140,1,129.5,1,0,0,1,0,0,18,0,12.32428571,12.32428571,10.8,1.4,1.74,Graduate
9238,39,130,1,126.7,0,0,1,1,0,0,21,0,12.16666667,11.71428571,13.9,-0.3,0.79,Graduate
9238,1,128,1,116.5,0,0,0,1,0,1,18,0,11.14285714,11.25,16.2,0.3,-0.92,Graduate
9238,1,132,1,119.1,1,0,0,1,0,0,18,0,11,10.75,7.6,2.6,0.32,Graduate
9500,1,149,1,126.5,1,0,0,1,0,0,18,0,12.91428571,12.91428571,12.7,3.7,-1.7,Graduate
9773,1,155,1,149.8,1,0,0,1,0,1,18,0,13.83333333,14.16666667,16.2,0.3,-0.92,Graduate
9085,1,120,1,115.1,1,0,0,1,0,0,19,0,13.85714286,13.4,13.9,-0.3,0.79,Graduate
9254,19,133.1,1,124.5,0,0,0,1,0,1,36,0,13.71428571,12.8,16.2,0.3,-0.92,Dropout
9500,1,131,1,128.3,1,0,0,1,0,1,18,0,12.64285714,12.64285714,12.7,3.7,-1.7,Graduate
9500,1,149,1,136,0,0,0,1,0,1,18,0,12.91666667,12.91666667,7.6,2.6,0.32,Graduate
9130,1,140,1,140,1,0,0,1,0,1,20,0,15.625,15.85714286,13.9,-0.3,0.79,Graduate
9991,1,133.1,1,126.3,0,0,0,1,0,1,26,0,0,0,16.2,0.3,-0.92,Dropout
9773,1,122,1,126.9,0,0,0,1,0,0,21,0,11.71428571,12,7.6,2.6,0.32,Graduate
9556,40,130,1,145,0,0,0,1,0,0,25,0,12.125,13.3125,15.5,2.8,-4.06,Enrolled
9147,1,121,1,115.8,1,0,0,1,0,1,19,0,11.6,11.6,12.4,0.5,1.79,Graduate
8014,1,120,1,100,1,0,0,1,0,0,24,0,10,0,9.4,-0.8,-3.12,Dropout
8014,1,133.1,1,102.5,0,0,0,1,0,1,27,0,10,0,8.9,1.4,3.51,Dropout
9085,1,121,1,131.5,0,0,0,1,0,0,21,0,0,13.5,7.6,2.6,0.32,Dropout
9147,1,133,1,147,0,0,0,1,0,1,18,0,13,12.33333333,9.4,-0.8,-3.12,Graduate
9853,1,134,1,122.5,0,1,0,1,0,1,19,0,13.33333333,14.5,10.8,1.4,1.74,Graduate
9254,1,115,1,117.5,1,0,0,1,0,0,18,0,11.25,12.5,9.4,-0.8,-3.12,Dropout
9500,1,127,1,150,0,0,0,1,0,1,19,0,13.85,12.19285714,11.1,0.6,2.02,Graduate
9500,1,135,1,127.5,1,0,0,1,0,1,19,0,13.74166667,14.9125,16.2,0.3,-0.92,Graduate
9991,43,140,1,140,0,0,0,1,0,0,33,0,15.33333333,15.8,11.1,0.6,2.02,Graduate
9147,3,130,1,130,0,0,0,1,0,0,45,0,11,13.8,12.4,0.5,1.79,Graduate
9238,1,135,1,133.3,0,0,0,1,0,1,20,0,12,12.85714286,11.1,0.6,2.02,Graduate
9670,1,140,1,97,1,0,0,1,0,0,28,0,0,0,7.6,2.6,0.32,Dropout
9500,1,120,1,112,1,0,0,1,0,1,19,0,11.57142857,11.57142857,12.7,3.7,-1.7,Graduate
9254,1,140,1,123.6,1,0,0,1,0,0,18,0,12.85714286,12.66666667,12.7,3.7,-1.7,Graduate
9254,3,133.1,1,130.5,0,0,0,1,0,0,38,0,0,0,15.5,2.8,-4.06,Dropout
9670,1,135,1,133.3,0,0,0,1,0,0,19,0,13,13.2,9.4,-0.8,-3.12,Graduate
9254,1,123,1,132.1,0,0,0,1,0,1,21,0,11,12,15.5,2.8,-4.06,Graduate
9147,1,133.1,1,100,0,0,0,1,0,0,21,0,12,15,16.2,0.3,-0.92,Dropout
9238,1,154,1,140.4,0,0,0,1,0,1,22,0,12.6,13,10.8,1.4,1.74,Graduate
9853,1,148,1,141.7,0,0,0,1,0,1,18,0,13.4,13.16666667,9.4,-0.8,-3.12,Graduate
9238,1,133,1,119.7,0,1,0,1,0,1,18,0,11.33333333,11.57142857,15.5,2.8,-4.06,Graduate
9130,1,126,1,122.5,1,0,0,0,0,0,25,0,13.5,14.25,9.4,-0.8,-3.12,Dropout
9085,19,133.1,1,140,0,0,1,0,0,0,24,0,11.75,10.33333333,16.2,0.3,-0.92,Dropout
9500,1,125,1,119.4,1,0,0,1,0,0,19,0,12.47142857,11.4625,12.4,0.5,1.79,Enrolled
171,1,145,1,155,1,0,0,1,0,0,24,0,12.90909091,13.55555556,12.4,0.5,1.79,Enrolled
9147,1,118,1,119.1,1,0,0,1,0,1,20,0,11.6,13.6,12.4,0.5,1.79,Graduate
9147,1,120,1,122.7,0,0,0,0,0,0,25,0,0,0,10.8,1.4,1.74,Dropout
9147,1,127,1,117.9,0,0,0,1,0,1,20,0,12.9,12.36363636,8.9,1.4,3.51,Graduate
9500,3,130,1,130,0,0,0,1,0,0,23,0,13.22,13.22,9.4,-0.8,-3.12,Graduate
9500,1,129,1,120,1,0,0,1,0,1,19,0,13.15142857,13.15142857,10.8,1.4,1.74,Graduate
9003,39,130,1,130,0,0,1,0,0,0,29,0,12.75,11.33333333,13.9,-0.3,0.79,Dropout
9254,1,121,1,116.8,1,0,0,1,0,0,21,0,11.33333333,12.25,11.1,0.6,2.02,Graduate
9670,1,136,1,123.4,1,0,0,1,0,1,18,0,13.25,14.14285714,11.1,0.6,2.02,Graduate
9070,1,125,1,125.4,1,0,0,1,0,0,19,0,12.4,12.4,9.4,-0.8,-3.12,Enrolled
9773,1,131,1,127.2,1,0,0,1,0,1,18,0,15,12.83333333,8.9,1.4,3.51,Dropout
